n,B_n
148,-0.000000000000
149,5.003946305945
150,0.000000000000
151,5.017279836815
152,0.000000000000
153,0.000000000000
154,0.000000000000
155,0.000000000000
156,-0.000000000000
157,5.056245805348
158,0.000000000000
159,0.000000000000
160,0.000000000000
161,0.000000000000
162,-0.000000000000
163,5.093750200807
164,0.000000000000
165,-0.000000000000
166,0.000000000000
167,5.117993812417
168,-0.000000000000
169,2.564949357462
170,0.000000000000
171,0.000000000000
172,0.000000000000
173,5.153291594498
174,0.000000000000
175,0.000000000000
176,-0.000000000000
177,-0.000000000000
178,0.000000000000
179,5.187385805841
180,0.000000000000
181,5.198497031266
182,0.000000000000
183,0.000000000000
184,0.000000000000
185,0.000000000000
186,0.000000000000
187,0.000000000000
188,0.000000000000
189,0.000000000000
190,0.000000000000
191,5.252273428047
192,0.000000000000
193,5.262690188905
194,0.000000000000
195,0.000000000000
196,-0.000000000000
197,5.283203728738
198,0.000000000000
199,5.293304824724
200,-0.000000000000
201,0.000000000000
202,0.000000000000
203,0.000000000000
204,0.000000000000
205,0.000000000000
206,0.000000000000
207,-0.000000000000
208,0.000000000000
209,0.000000000000
210,-0.000000000000
211,5.351858133476
212,0.000000000000
213,0.000000000000
214,0.000000000000
215,0.000000000000
216,0.000000000000
217,0.000000000000
218,0.000000000000
219,0.000000000000
220,0.000000000000
221,-0.000000000000
222,-0.000000000000
223,5.407171771460
224,0.000000000000
225,0.000000000000
226,0.000000000000
227,5.424950017481
228,0.000000000000
229,5.433722003554
230,0.000000000000
231,0.000000000000
232,0.000000000000
233,5.451038453566
234,0.000000000000
235,0.000000000000
236,0.000000000000
237,0.000000000000
238,0.000000000000
239,5.476463551932
240,0.000000000000
241,5.484796933491
242,0.000000000000
243,1.098612288668
244,0.000000000000
245,0.000000000000
246,0.000000000000
247,0.000000000000
248,0.000000000000
249,-0.000000000000
250,-0.000000000000
251,5.525452939132
252,0.000000000000
253,0.000000000000
254,0.000000000000
255,0.000000000000
256,0.693147180560
257,5.549076084895
258,0.000000000000
259,0.000000000000
260,0.000000000000
261,0.000000000000
262,0.000000000000
263,5.572154032178
264,0.000000000000
265,0.000000000000
266,0.000000000000
267,0.000000000000
268,0.000000000000
269,5.594711379602
270,0.000000000000
271,5.602118820880
272,0.000000000000
273,0.000000000000
274,0.000000000000
275,0.000000000000
276,-0.000000000000
277,5.624017506187
278,0.000000000000
279,0.000000000000
280,-0.000000000000
281,5.638354669334
282,0.000000000000
283,5.645446897643
284,0.000000000000
285,0.000000000000
286,0.000000000000
287,0.000000000000
288,0.000000000000
289,2.833213344056
290,0.000000000000
291,0.000000000000
292,0.000000000000
293,5.680172609017
294,-0.000000000000
295,0.000000000000
296,0.000000000000
297,0.000000000000
298,0.000000000000
299,0.000000000000
300,-0.000000000000
301,0.000000000000
302,0.000000000000
303,-0.000000000000
304,0.000000000000
305,0.000000000000
306,0.000000000000
307,5.726847747587
308,-0.000000000000
309,0.000000000000
310,0.000000000000
311,5.739792912179
312,0.000000000000
313,5.746203190540
314,0.000000000000
315,0.000000000000
316,0.000000000000
317,5.758901773877
318,0.000000000000
319,-0.000000000000
320,0.000000000000
321,0.000000000000
322,0.000000000000
323,0.000000000000
324,0.000000000000
325,0.000000000000
326,0.000000000000
327,0.000000000000
328,0.000000000000
329,0.000000000000
330,0.000000000000
331,5.802118375377
332,-0.000000000000
333,0.000000000000
334,0.000000000000
335,0.000000000000
336,0.000000000000
337,5.820082930352
338,0.000000000000
339,-0.000000000000
340,0.000000000000
341,0.000000000000
342,-0.000000000000
343,1.945910149055
344,0.000000000000
345,0.000000000000
346,0.000000000000
347,5.849324779947
348,0.000000000000
349,5.855071922202
350,-0.000000000000
351,0.000000000000
352,0.000000000000
353,5.866468056933
354,0.000000000000
355,0.000000000000
356,0.000000000000
357,-0.000000000000
358,0.000000000000
359,5.883322388488
360,0.000000000000
361,2.944438979166
362,0.000000000000
363,0.000000000000
364,0.000000000000
365,0.000000000000
366,-0.000000000000
367,5.905361848055
368,0.000000000000
369,0.000000000000
370,-0.000000000000
371,0.000000000000
372,-0.000000000000
373,5.921578419644
374,0.000000000000
375,-0.000000000000
376,0.000000000000
377,0.000000000000
378,0.000000000000
379,5.937536205082
380,0.000000000000
381,0.000000000000
382,0.000000000000
383,5.948034989181
384,0.000000000000
385,0.000000000000
386,0.000000000000
387,0.000000000000
388,0.000000000000
389,5.963579343618
390,0.000000000000
391,0.000000000000
392,-0.000000000000
393,0.000000000000
394,0.000000000000
395,0.000000000000
396,0.000000000000
397,5.983936280687
398,0.000000000000
399,0.000000000000
400,0.000000000000
401,5.993961427307
402,0.000000000000
403,-0.000000000000
404,0.000000000000
405,-0.000000000000
406,0.000000000000
407,0.000000000000
408,-0.000000000000
409,6.013715156043
410,0.000000000000
411,-0.000000000000
412,0.000000000000
413,0.000000000000
414,0.000000000000
415,-0.000000000000
416,0.000000000000
417,0.000000000000
418,0.000000000000
419,6.037870919922
420,0.000000000000
421,6.042632833682
422,0.000000000000
423,0.000000000000
424,0.000000000000
425,0.000000000000
426,0.000000000000
427,0.000000000000
428,0.000000000000
429,-0.000000000000
430,-0.000000000000
431,6.066108090104
432,0.000000000000
433,6.070737728002
434,0.000000000000
435,0.000000000000
436,0.000000000000
437,0.000000000000
438,0.000000000000
439,6.084499413075
440,-0.000000000000
441,0.000000000000
442,0.000000000000
443,6.093569770045
444,0.000000000000
445,0.000000000000
446,0.000000000000
447,0.000000000000
448,0.000000000000
449,6.107022887742
450,0.000000000000
451,0.000000000000
452,0.000000000000
453,0.000000000000
454,0.000000000000
455,0.000000000000
456,0.000000000000
457,6.124683390894
458,0.000000000000
459,0.000000000000
460,0.000000000000
461,6.133398042997
462,0.000000000000
463,6.137727054086
464,0.000000000000
465,0.000000000000
466,0.000000000000
467,6.146329257669
468,0.000000000000
469,0.000000000000
470,0.000000000000
471,0.000000000000
472,0.000000000000
473,0.000000000000
474,0.000000000000
475,0.000000000000
476,0.000000000000
477,0.000000000000
478,0.000000000000
479,6.171700597411
480,0.000000000000
481,0.000000000000
482,0.000000000000
483,0.000000000000
484,0.000000000000
485,0.000000000000
486,0.000000000000
487,6.188264123083
488,0.000000000000
489,0.000000000000
490,-0.000000000000
491,6.196444127795
492,0.000000000000
493,0.000000000000
494,0.000000000000
495,0.000000000000
496,0.000000000000
497,0.000000000000
498,0.000000000000
499,6.212606095752
500,-0.000000000000
501,-0.000000000000
502,0.000000000000
503,6.220590170100
504,0.000000000000
505,0.000000000000
506,0.000000000000
507,0.000000000000
508,0.000000000000
509,6.232448016551
510,0.000000000000
511,0.000000000000
512,0.693147180560
513,0.000000000000
514,0.000000000000
515,0.000000000000
516,0.000000000000
517,0.000000000000
518,-0.000000000000
519,-0.000000000000
520,0.000000000000
521,6.255750041753
522,0.000000000000
523,6.259581464065
524,0.000000000000
525,-0.000000000000
526,0.000000000000
527,0.000000000000
528,0.000000000000
529,3.135494215929
530,0.000000000000
531,0.000000000000
532,0.000000000000
533,-0.000000000000
534,0.000000000000
535,0.000000000000
536,0.000000000000
537,0.000000000000
538,0.000000000000
539,0.000000000000
540,0.000000000000
541,6.293419278846
542,0.000000000000
543,-0.000000000000
544,-0.000000000000
545,0.000000000000
546,0.000000000000
547,6.304448802422
548,0.000000000000
549,0.000000000000
550,-0.000000000000
551,0.000000000000
552,0.000000000000
553,0.000000000000
554,0.000000000000
555,0.000000000000
556,0.000000000000
557,6.322565239927
558,0.000000000000
559,0.000000000000
560,0.000000000000
561,-0.000000000000
562,0.000000000000
563,6.333279628140
564,0.000000000000
565,0.000000000000
566,0.000000000000
567,-0.000000000000
568,0.000000000000
569,6.343880434126
570,-0.000000000000
571,6.347389209656
