architecture,horizon,run,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,agent_calls
corpus_mesh,10,125,1,0,0,0,0,30
single,10,126,1,0,0,0,0,10
reflection,10,126,1,0,3,3,0,13
static_team,10,126,1,0,0,0,0,20
corpus_mesh,10,126,1,0,0,0,0,32
single,10,127,1,0,0,0,0,10
reflection,10,127,0,0,3,2,1,13
static_team,10,127,1,0,0,0,0,20
corpus_mesh,10,127,1,0,0,0,0,30
single,10,128,1,0,0,0,0,10
reflection,10,128,0,1,2,2,1,12
static_team,10,128,1,1,1,1,0,21
corpus_mesh,10,128,1,0,0,0,0,32
single,10,129,1,0,0,0,0,10
reflection,10,129,1,0,2,2,0,12
static_team,10,129,1,0,0,0,0,20
corpus_mesh,10,129,1,1,1,1,0,32
single,10,130,1,0,0,0,0,10
reflection,10,130,1,0,3,3,0,13
static_team,10,130,1,0,0,0,0,20
corpus_mesh,10,130,1,0,0,0,0,30
single,10,131,0,1,0,0,1,10
reflection,10,131,0,1,1,1,1,11
static_team,10,131,1,0,0,0,0,20
corpus_mesh,10,131,1,0,0,0,0,30
single,10,132,1,0,0,0,0,10
reflection,10,132,1,0,3,3,0,13
static_team,10,132,1,0,0,0,0,20
corpus_mesh,10,132,1,1,1,1,0,32
single,10,133,1,0,0,0,0,10
reflection,10,133,1,0,2,2,0,12
static_team,10,133,1,0,0,0,0,20
corpus_mesh,10,133,1,0,0,0,0,30
single,10,134,0,1,0,0,1,10
reflection,10,134,1,0,1,1,0,11
static_team,10,134,1,0,0,0,0,21
corpus_mesh,10,134,1,0,0,0,0,30
single,10,135,1,0,0,0,0,10
reflection,10,135,1,0,5,5,0,15
static_team,10,135,1,1,1,1,0,21
corpus_mesh,10,135,1,0,0,0,0,30
single,10,136,1,0,0,0,0,10
reflection,10,136,1,0,2,2,0,12
static_team,10,136,1,0,0,0,0,20
corpus_mesh,10,136,1,0,0,0,0,30
single,10,137,1,0,0,0,0,10
reflection,10,137,1,0,1,1,0,11
static_team,10,137,1,0,0,0,0,20
corpus_mesh,10,137,1,0,0,0,0,30
single,10,138,1,0,0,0,0,10
reflection,10,138,1,0,4,4,0,14
static_team,10,138,1,2,2,2,0,22
corpus_mesh,10,138,1,0,0,0,0,30
single,10,139,1,0,0,0,0,10
reflection,10,139,1,1,4,4,0,14
static_team,10,139,1,0,0,0,0,20
corpus_mesh,10,139,1,0,0,0,0,32
single,10,140,1,0,0,0,0,10
reflection,10,140,1,0,4,4,0,14
static_team,10,140,1,0,0,0,0,20
corpus_mesh,10,140,1,0,0,0,0,30
single,10,141,0,1,0,0,1,10
reflection,10,141,1,0,3,3,0,13
static_team,10,141,1,0,0,0,0,20
corpus_mesh,10,141,1,0,0,0,0,30
single,10,142,1,0,0,0,0,10
reflection,10,142,0,1,5,5,1,15
static_team,10,142,1,0,0,0,0,20
corpus_mesh,10,142,1,0,0,0,0,30
single,10,143,1,0,0,0,0,10
reflection,10,143,1,0,3,3,0,13
